sample_key,customer_label,donor_id,aliquot_id,carbohydrate,timepoint,group,gene_copies_per_ul,asv_read_depth
58__58B__RDC__1.0__0H,58B.R1.0H,58,58B,RDC,0H,case,45219743.0,53325.0
58__58B__RDC__1.0__48H,58B.R1.48H,58,58B,RDC,48H,case,951823942.0,57083.0
58__58B__RDC__2.0__0H,58B.R2.0H,58,58B,RDC,0H,case,1713058163.0,44532.0
58__58B__RDC__2.0__48H,58B.R2.48H,58,58B,RDC,48H,case,92494644.0,91598.0
58__58B__SDC__1.0__0H,58B.S1.0H,58,58B,SDC,0H,case,2026806004.0,47200.0
58__58B__SDC__1.0__48H,58B.S1.48H,58,58B,SDC,48H,case,1626026998.0,75596.0
58__58B__SDC__2.0__0H,58B.S2.0H,58,58B,SDC,0H,case,1925058184.0,46126.0
58__58B__SDC__2.0__48H,58B.S2.48H,58,58B,SDC,48H,case,666193157.0,86675.0
66__66A__No Added Carb__1.0__0H,66A.NC.0H,66,66A,No Added Carb,0H,control,1224190.0,47559.0
66__66A__No Added Carb__1.0__48H,66A.NC.48H,66,66A,No Added Carb,48H,control,1851.0,75268.0
66__66A__RDC__1.0__0H,66A.R1.0H,66,66A,RDC,0H,control,255581376.0,55249.0
66__66A__RDC__1.0__48H,66A.R1.48H,66,66A,RDC,48H,control,2658404318.0,82365.0
66__66A__RDC__2.0__0H,66A.R2.0H,66,66A,RDC,0H,control,199969065.0,36256.0
66__66A__RDC__2.0__48H,66A.R2.48H,66,66A,RDC,48H,control,3606478176.0,59259.0
66__66A__SDC__1.0__0H,66A.S1.0H,66,66A,SDC,0H,control,558291052.0,53678.0
66__66A__SDC__1.0__48H,66A.S1.48H,66,66A,SDC,48H,control,5867705620.0,70238.0
66__66A__SDC__2.0__0H,66A.S2.0H,66,66A,SDC,0H,control,1424277.0,46232.0
66__66A__SDC__2.0__48H,66A.S2.48H,66,66A,SDC,48H,control,1697012599.0,57587.0
66__66B__No Added Carb__1.0__0H,66B.NC.0H,66,66B,No Added Carb,0H,control,197927445.0,69233.0
66__66B__No Added Carb__1.0__48H,66B.NC.48H,66,66B,No Added Carb,48H,control,1762575656.0,45622.0
66__66B__RDC__1.0__0H,66B.R1.0H,66,66B,RDC,0H,control,360521129.0,42104.0
66__66B__RDC__1.0__48H,66B.R1.48H,66,66B,RDC,48H,control,2463161116.0,67311.0
66__66B__RDC__2.0__0H,66B.R2.0H,66,66B,RDC,0H,control,2762439707.0,55212.0
66__66B__SDC__1.0__0H,66B.S1.0H,66,66B,SDC,0H,control,1350454377.0,52177.0
66__66B__SDC__1.0__48H,66B.S1.48H,66,66B,SDC,48H,control,2084209634.0,60524.0
66__66B__SDC__2.0__0H,66B.S2.0H,66,66B,SDC,0H,control,3192761646.0,50272.0
67__67A__No Added Carb__1.0__0H,67A.NC.0H,67,67A,No Added Carb,0H,control,369642683.0,43080.0
67__67A__No Added Carb__1.0__48H,67A.NC.48H,67,67A,No Added Carb,48H,control,11656402383.0,42195.0
67__67A__RDC__1.0__0H,67A.R1.0H,67,67A,RDC,0H,control,38384472.0,53577.0
67__67A__RDC__2.0__0H,67A.R2.0H,67,67A,RDC,0H,control,250929040.0,47372.0
67__67A__RDC__2.0__48H,67A.R2.48H,67,67A,RDC,48H,control,7098969017.0,53667.0
67__67A__SDC__1.0__0H,67A.S1.0H,67,67A,SDC,0H,control,171077365.0,61778.0
67__67A__SDC__1.0__48H,67A.S1.48H,67,67A,SDC,48H,control,1960340590.0,57229.0
67__67A__SDC__2.0__0H,67A.S2.0H,67,67A,SDC,0H,control,289130124.0,61094.0
67__67A__SDC__2.0__48H,67A.S2.48H,67,67A,SDC,48H,control,1015855360.0,50795.0
67__67B__No Added Carb__1.0__0H,67B.NC.0H,67,67B,No Added Carb,0H,control,24896912.0,41986.0
67__67B__No Added Carb__1.0__48H,67B.NC.48H,67,67B,No Added Carb,48H,control,13101.0,83725.0
67__67B__RDC__1.0__0H,67B.R1.0H,67,67B,RDC,0H,control,388568024.0,45984.0
67__67B__RDC__1.0__48H,67B.R1.48H,67,67B,RDC,48H,control,2201517547.0,51734.0
67__67B__RDC__2.0__0H,67B.R2.0H,67,67B,RDC,0H,control,129104383.0,42132.0
67__67B__RDC__2.0__48H,67B.R2.48H,67,67B,RDC,48H,control,3105451489.0,53642.0
67__67B__SDC__1.0__0H,67B.S1.0H,67,67B,SDC,0H,control,39674060.0,62526.0
67__67B__SDC__1.0__48H,67B.S1.48H,67,67B,SDC,48H,control,2858589301.0,47424.0
67__67B__SDC__2.0__0H,67B.S2.0H,67,67B,SDC,0H,control,49244224.0,57168.0
67__67B__SDC__2.0__48H,67B.S2.48H,67,67B,SDC,48H,control,2582064664.0,48043.0
73__73A__No Added Carb__1.0__0H,73A.NC.0H,73,73A,No Added Carb,0H,control,453155684.0,50257.0
73__73A__No Added Carb__1.0__48H,73A.NC.48H,73,73A,No Added Carb,48H,control,2743798064.0,60799.0
73__73A__RDC__1.0__0H,73A.R1.0H,73,73A,RDC,0H,control,300901174.0,67199.0
73__73A__RDC__1.0__48H,73A.R1.48H,73,73A,RDC,48H,control,6286389958.0,53244.0
73__73A__RDC__2.0__0H,73A.R2.0H,73,73A,RDC,0H,control,13695968.0,46571.0
73__73A__RDC__2.0__48H,73A.R2.48H,73,73A,RDC,48H,control,5974756985.0,61250.0
73__73A__SDC__1.0__0H,73A.S1.0H,73,73A,SDC,0H,control,320324215.0,43691.0
73__73A__SDC__1.0__48H,73A.S1.48H,73,73A,SDC,48H,control,4655429922.0,67414.0
73__73A__SDC__2.0__0H,73A.S2.0H,73,73A,SDC,0H,control,367126520.0,58327.0
73__73A__SDC__2.0__48H,73A.S2.48H,73,73A,SDC,48H,control,8568504459.0,43609.0
73__73B__No Added Carb__1.0__48H,73B.NC.48H,73,73B,No Added Carb,48H,control,116870699.0,68852.0
73__73B__RDC__1.0__0H,73B.R1.0H,73,73B,RDC,0H,control,49244224.0,59897.0
73__73B__RDC__1.0__48H,73B.R1.48H,73,73B,RDC,48H,control,859236813.0,60614.0
73__73B__RDC__2.0__0H,73B.R2.0H,73,73B,RDC,0H,control,26456989.0,45789.0
