feature,metadata,value,name,coef,null_hypothesis,stderr,pval_individual,qval_individual,pval_joint,qval_joint,error,model,N,N_not_zero
Escherichia,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-1.2050735081442487,0,1.2856979053240996,0.34860871808596106,0.9806265543621827,0.09198567430142615,0.4928495602044833,NA,logistic,289,181
Escherichia,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-1.2086101858669593,0,1.2856791510525094,0.3471889220843813,0.9806265543621827,0.06946801325534717,0.4260146836984543,NA,logistic,289,181
Escherichia,obesity_group,obesity,obesity_groupobesity,0.5149390628532187,0,0.5511997860362389,0.3501930420643236,0.9806265543621827,0.577750917418382,0.999976442700979,NA,logistic,289,181
f__Defluviitaleaceae,obesity_group,obesity,obesity_groupobesity,-1.2140228250407779,0,1.2130661049084448,0.31692898376672346,0.9806265543621827,0.5334139867820389,0.999976442700979,NA,logistic,289,29
f__Erysipelotrichaceae,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-0.9524358366827709,0,0.9474094886888579,0.3147498351461661,0.9806265543621827,0.5304322115677935,0.999976442700979,NA,logistic,289,224
f__Family.XIII,carbohydrate,RDC,carbohydrateRDC,-1.157695903484785,0,1.1364960768321901,0.30836741327704814,0.9806265543621827,0.5216443649829186,0.999976442700979,NA,logistic,289,190
Faecalitalea,obesity_group,obesity,obesity_groupobesity,0.7609334977643523,0,0.8203870557518872,0.3536514914135957,0.9806265543621827,0.2754796547532734,0.865550273268001,NA,logistic,289,69
Gordonibacter,carbohydrate,SDC,carbohydrateSDC,-0.576330471758679,0,0.5981646199444087,0.3352976197484583,0.9806265543621827,0.5581707456879348,0.999976442700979,NA,logistic,289,113
Holdemanella,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,0.7903523388893976,0,0.8507975938982386,0.3529126148157187,0.9806265543621827,0.2946345250486696,0.8770115394723557,NA,logistic,289,108
Lactobacillus,obesity_group,obesity,obesity_groupobesity,0.7117079886235226,0,0.7224665218421007,0.3245707262687095,0.9806265543621827,0.5437952961868213,0.999976442700979,NA,logistic,289,63
Lactococcus,carbohydrate,SDC,carbohydrateSDC,-0.5484263361258188,0,0.5731744771213297,0.3386567655390404,0.9806265543621827,0.5626251262327163,0.999976442700979,NA,logistic,289,118
Marvinbryantia,carbohydrate,RDC,carbohydrateRDC,-0.678287883779862,0,0.7002435447997701,0.33272200411604064,0.9806265543621827,0.5547400762090866,0.999976442700979,NA,logistic,289,148
Other,carbohydrate,RDC,carbohydrateRDC,-0.560307384577565,0,0.565332580512268,0.3216313431174051,0.9806265543621827,0.5398159653593043,0.999976442700979,NA,logistic,289,101
Peptococcus,carbohydrate,SDC,carbohydrateSDC,-0.6328466635084071,0,0.6780395549746228,0.3506404709960774,0.9806265543621827,0.5783322020918038,0.999976442700979,NA,logistic,289,40
Peptoniphilus,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-1.2139117444557685,0,1.2920760273190468,0.34747158335959805,0.9806265543621827,0.5742066654767699,0.999976442700979,NA,logistic,289,67
Turicibacter,carbohydrate,RDC,carbohydrateRDC,-0.6513820859362058,0,0.6663291717852929,0.32828802303482435,0.9806265543621827,0.5488030200015355,0.999976442700979,NA,logistic,289,202
Varibaculum,carbohydrate,RDC,carbohydrateRDC,-0.7426236105733001,0,0.7704260038227388,0.3350895652077416,0.9806265543621827,0.5578941137043698,0.999976442700979,NA,logistic,289,21
Akkermansia,carbohydrate,RDC,carbohydrateRDC,0.5009926720361961,0,0.5714671361780956,0.38066155376986344,0.9866076119747256,0.6164198890212402,0.999976442700979,NA,logistic,289,195
Anaerostipes,obesity_group,obesity,obesity_groupobesity,-0.6436428368981686,0,0.7053575500419157,0.36150253158697215,0.9866076119747256,0.5923209828301546,0.999976442700979,NA,logistic,289,255
