parameter,entity,estimate,std.error,p.val.adj,s_var,engine
carbohydrateSDC:timepoint48H,Faecalibacterium,3.4554411864153827,1.9622583649403866,0.7989256891682432,1,blmm
carbohydrateRDC,Flavonifractor,-0.6966941147315102,1.3455800424056854,0.8031374401024307,1,blmm
carbohydrateSDC,Flavonifractor,-0.043379485551300084,1.3489334657505516,1,1,blmm
timepoint48H,Flavonifractor,10.383968319305774,1.5135143814488927,2.4006961742555995e-8,1,blmm
obesity_groupobesity,Flavonifractor,-0.910405030961323,0.9394050652823781,0.8994850173179961,1,blmm
carbohydrateRDC:timepoint48H,Flavonifractor,0.17715952040464605,1.8230013506620888,0.8744666051119676,1,blmm
carbohydrateSDC:timepoint48H,Flavonifractor,-0.5420788623342881,1.8210980199999827,0.9777742817019428,1,blmm
carbohydrateRDC,Fusicatenibacter,-0.8417284407266479,1.3208223529343863,0.7440235787835103,1,blmm
carbohydrateSDC,Fusicatenibacter,0.4289341881776456,1.3240220038985062,0.9995495627269416,1,blmm
timepoint48H,Fusicatenibacter,-2.463738499149027,1.48680382665975,0.8141936123586258,1,blmm
obesity_groupobesity,Fusicatenibacter,1.0018678669616714,1.3245550373873514,1,1,blmm
carbohydrateRDC:timepoint48H,Fusicatenibacter,2.728378068950816,1.7892897835161863,0.4849992486389993,1,blmm
carbohydrateSDC:timepoint48H,Fusicatenibacter,4.40641188263981,1.7873763720553137,0.6087576760987102,1,blmm
carbohydrateRDC,Gordonibacter,-1.0421570472102721,1.3695352594880987,0.750406883729493,1,blmm
carbohydrateSDC,Gordonibacter,-0.6071980557954368,1.3728790474535233,0.9999019203360973,1,blmm
timepoint48H,Gordonibacter,0.8431979708339264,1.541279583908134,0.8863632902219434,1,blmm
obesity_groupobesity,Gordonibacter,-1.5555924149217089,1.2044829628182,0.8229516850293314,1,blmm
carbohydrateRDC:timepoint48H,Gordonibacter,2.0157288607645554,1.8553252214039468,0.5812614410958528,1,blmm
carbohydrateSDC:timepoint48H,Gordonibacter,1.9369559393185842,1.853354673211474,0.8679352281185004,1,blmm
carbohydrateRDC,Holdemanella,-1.7124364693444087,1.4784860565858247,0.7230231811568933,1,blmm
carbohydrateSDC,Holdemanella,-0.26143034635098467,1.4820238869057456,0.9995495627269416,1,blmm
timepoint48H,Holdemanella,1.8375307136373695,1.6649458889916138,0.6455062193541842,1,blmm
obesity_groupobesity,Holdemanella,0.5042834098067619,2.004705454620912,1,1,blmm
carbohydrateRDC:timepoint48H,Holdemanella,3.9921858767548635,2.0028026027472716,0.4193838548669008,1,blmm
carbohydrateSDC:timepoint48H,Holdemanella,2.8355803716359023,2.0006372800409187,0.8070841266986722,1,blmm
carbohydrateRDC,Holdemania,-0.6107353421449245,1.3112141482494104,0.8152004376559379,1,blmm
carbohydrateSDC,Holdemania,0.3784633816027136,1.3144851734003835,0.9995495627269416,1,blmm
timepoint48H,Holdemania,6.246213557131588,1.4748210941833468,7.660409862424786e-4,1,blmm
